time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Input 6","-","-","-","-","HVAC vent 1st floor (Degrees F)","HVAC vent 1st floor Ave (Degrees F)","HVAC vent 1st floor Min (Degrees F)","HVAC vent 1st floor Max (Degrees F)","-","1st floor office (Degrees F)","1st floor office Ave (Degrees F)","1st floor office Min (Degrees F)","1st floor office Max (Degrees F)","-","Output 01","Output 02"
"2015-07-31 15:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.82,63.41,63.89,62.80,,71.68,71.57,71.77,71.40,,0,0
"2015-07-31 15:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.57,64.12,64.59,63.76,,72.06,71.92,72.12,71.64,,0,0
"2015-07-31 16:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.41,63.93,65.13,60.41,,71.43,72.09,72.38,71.41,,0,0
"2015-07-31 16:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.12,63.73,65.27,60.04,,72.30,71.80,72.33,71.20,,0,0
"2015-07-31 16:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.45,63.11,65.45,60.65,,72.07,71.86,72.49,71.26,,0,0
"2015-07-31 16:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.27,62.99,65.73,61.18,,71.90,71.76,72.32,71.23,,0,0
"2015-07-31 17:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.48,62.91,65.94,61.13,,71.64,71.81,72.41,71.37,,0,0
"2015-07-31 17:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.67,63.74,65.90,62.46,,71.52,71.94,72.40,71.48,,0,0
"2015-07-31 17:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.72,62.73,62.90,62.59,,71.19,71.42,71.57,71.16,,0,0
"2015-07-31 17:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.92,62.84,63.00,62.69,,71.22,71.21,71.30,71.14,,0,0
"2015-07-31 18:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.61,62.89,63.22,62.49,,71.24,71.26,71.41,71.16,,0,0
"2015-07-31 18:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.48,62.54,62.68,62.43,,71.12,71.20,71.37,71.09,,0,0
"2015-07-31 18:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.60,62.66,62.88,62.39,,71.19,71.15,71.24,71.00,,0,0
"2015-07-31 18:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.65,62.54,62.69,62.44,,71.09,71.14,71.24,71.01,,0,0
"2015-07-31 19:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.71,62.71,62.83,62.54,,71.16,71.15,71.27,71.02,,0,0
"2015-07-31 19:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.77,62.78,62.90,62.65,,71.51,71.40,71.54,71.16,,0,0
"2015-07-31 19:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.52,62.65,62.86,62.40,,71.56,71.57,71.68,71.43,,0,0
"2015-07-31 19:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.52,62.55,62.71,62.44,,72.06,71.79,72.13,71.54,,0,0
"2015-07-31 20:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.35,62.41,62.56,62.23,,71.66,71.87,72.12,71.62,,0,0
"2015-07-31 20:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.97,62.15,62.38,61.90,,71.84,71.68,71.91,71.55,,0,0
