time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Input 6","-","-","-","-","HVAC vent 1st floor (Degrees F)","HVAC vent 1st floor Ave (Degrees F)","HVAC vent 1st floor Min (Degrees F)","HVAC vent 1st floor Max (Degrees F)","-","1st floor office (Degrees F)","1st floor office Ave (Degrees F)","1st floor office Min (Degrees F)","1st floor office Max (Degrees F)","-","Output 01","Output 02"
"2015-07-28 07:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,76.24,76.41,76.12,,77.03,76.98,77.11,76.90,,0,0
"2015-07-28 07:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.31,76.22,76.36,76.09,,,76.94,77.06,76.83,,0,0
"2015-07-28 07:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.14,76.20,76.36,76.05,,77.07,77.02,77.13,76.94,,0,0
"2015-07-28 08:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.17,76.21,76.36,76.07,,77.06,,77.12,76.91,,0,0
"2015-07-28 08:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.09,76.20,76.40,76.05,,77.20,77.18,77.32,77.01,,0,0
"2015-07-28 08:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.10,76.10,76.27,75.90,,77.11,77.18,77.31,77.07,,0,0
"2015-07-28 08:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.12,76.09,76.29,75.95,,77.10,77.12,77.24,77.04,,0,0
"2015-07-28 09:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.17,76.16,76.31,76.02,,77.13,77.10,77.20,,,0,0
"2015-07-28 09:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.20,76.23,76.40,76.05,,77.11,77.10,77.19,77.03,,0,0
"2015-07-28 09:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.45,76.29,76.43,76.14,,77.11,77.10,77.19,77.03,,0,0
"2015-07-28 09:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.34,76.33,76.48,76.19,,77.12,77.10,77.22,77.03,,0,0
"2015-07-28 10:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.29,76.35,76.51,76.22,,77.10,77.10,77.19,77.01,,0,0
"2015-07-28 10:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.36,76.35,76.50,76.24,,76.99,77.08,77.18,76.97,,0,0
"2015-07-28 10:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.36,76.32,76.48,76.19,,76.97,77.04,77.14,76.93,,0,0
"2015-07-28 10:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.39,76.32,76.46,76.19,,77.05,77.00,77.11,76.92,,0,0
"2015-07-28 11:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.31,76.33,76.50,76.20,,77.06,77.02,77.11,76.94,,0,0
"2015-07-28 11:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.27,76.34,76.51,76.22,,77.02,77.00,77.11,76.90,,0,0
"2015-07-28 11:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.32,76.36,76.53,76.24,,77.12,77.05,77.17,76.93,,0,0
"2015-07-28 11:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.36,76.39,76.55,76.24,,77.08,77.11,77.20,77.04,,0,0
"2015-07-28 12:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.46,76.41,76.55,76.27,,77.12,77.15,77.26,77.06,,0,0
"2015-07-28 12:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.23,70.83,76.56,65.11,,73.60,75.79,77.27,73.57,,0,0
"2015-07-28 12:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.29,64.34,65.18,63.89,,71.95,72.55,73.61,71.92,,0,0
"2015-07-28 12:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.37,63.93,64.45,63.39,,71.50,71.63,72.02,71.44,,0,0
"2015-07-28 13:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.27,63.76,64.59,62.98,,71.17,71.30,71.59,71.07,,0,0
"2015-07-28 13:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65,63.57,64.68,61.60,,70.57,71.07,71.33,70.49,,0,0
"2015-07-28 13:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.70,62.62,65.78,60.69,,71.17,70.40,71.16,69.97,,0,0
